Position;step;solution;Set;raw;diff;logdiff;abwpro;logabwpro;diffsq;logdiffsq
Sticking;Singeing;DS0200;S6;0.0115;0.003225;0.142929838;0.389728097;-0.409238283;1.04E-05;0.020428939
Truck (Gloves);Singeing;DS0200;S6;0.046;0.010225;0.087171632;0.181858604;-0.740266147;0.000104551;0.007598893
Truck (Wall);Singeing;DS0200;S6;0.0095;0.0054;0.364939749;1.317073171;0.119609903;0.00002916;0.13318102
Unknown;Singeing;DS0200;S6;0.523125;0.173125;0.174537431;0.494642857;-0.305708258;0.029972266;0.030463315
Anal Swab;Polishing;DS0200;S6;0.000625;0.00195;0.614897216;0.757281553;-0.120742622;3.80E-06;0.378098586
Classification (Gloves);Polishing;DS0200;S6;0.052375;0.027275;0.319450314;1.086653386;0.036091038;0.000743926;0.102048503
Classification (Railing);Polishing;DS0200;S6;0.108875;0.113525;0.310206615;0.510454137;-0.292043272;0.012887926;0.096228144
Cooling chamber (Wall_A);Polishing;DS0200;S6;0.002875;0.0027;1.2155998;15.42857143;1.188325715;0.00000729;1.477682875
Evisceration (Aprons);Polishing;DS0200;S6;0.0155;0.0097;0.426903705;1.672413793;0.223343741;0.00009409;0.182246773
Evisceration (Gloves);Polishing;DS0200;S6;0.018875;0.01;0.327718599;1.126760563;0.051831638;0.0001;0.10739948
Evisceration (Knifes);Polishing;DS0200;S6;0.008;0.0052;0.455931956;1.857142857;0.268845312;0.00002704;0.207873948
Lock (Hands_A);Polishing;DS0200;S6;0.002;0.000925;0.269621531;0.860465116;-0.065266732;8.56E-07;0.07269577
Lock (Shoes_A);Polishing;DS0200;S6;0.004;7.50E-05;0.008067622;0.018404908;-1.73506635;5.63E-09;6.51E-05
Polishing tunnel (Nozzles);Polishing;DS0200;S6;0.023375;0.005925;0.098116001;0.20221843;-0.694179266;3.51E-05;0.00962675
Polishing tunnel (Water);Polishing;DS0200;S6;0.120625;0.07955;0.219972511;0.397402273;-0.400769653;0.006328203;0.048387906
Polishing tunnel (Whips);Polishing;DS0200;S6;0.10475;0.05615;0.186402012;0.348974518;-0.457206284;0.003152823;0.03474571
Splitting saw;Polishing;DS0200;S6;0.031625;0.023875;0.610728832;3.080645161;0.488641678;0.000570016;0.372989706
Sticking;Polishing;DS0200;S6;0.004375;0.00195;0.160082472;0.308300395;-0.511025918;3.80E-06;0.025626398
Truck (Gloves);Polishing;DS0200;S6;0.11275;0.00205;0.007825338;0.017857143;-1.748188027;4.20E-06;6.12E-05
Truck (Wall);Polishing;DS0200;S6;0.002625;0.001875;0.544068044;2.5;0.397940009;3.52E-06;0.296010037
Unknown;Polishing;DS0200;S6;0.38675;0.179625;0.271197801;0.867229934;-0.06186574;0.032265141;0.073548247
Anal Swab;Evisceration;DS0200;S6;0.001125;0.0006;0.185636577;0.347826087;-0.458637849;0.00000036;0.034460939
Classification (Gloves);Evisceration;DS0200;S6;0.051625;0.02105;0.227493599;0.688470973;-0.162114366;0.000443103;0.051753338
Classification (Railing);Evisceration;DS0200;S6;0.113;0.116975;0.308602184;0.508642244;-0.293587574;0.013683151;0.095235308
Cooling chamber (Wall_A);Evisceration;DS0200;S6;0.001125;0.000675;0.397940009;1.5;0.176091259;4.56E-07;0.158356251
Evisceration (Aprons);Evisceration;DS0200;S6;0.011625;0.00385;0.174692564;0.495176849;-0.305239668;1.48E-05;0.030517492
Evisceration (Gloves);Evisceration;DS0200;S6;0.012125;0.00325;0.135513386;0.366197183;-0.436285001;1.06E-05;0.018363878
Evisceration (Knifes);Evisceration;DS0200;S6;0.006;0.001925;0.168023637;0.472392638;-0.325696879;3.71E-06;0.028231943
Lock (Hands_A);Evisceration;DS0200;S6;0.005125;0.003175;0.419659258;1.628205128;0.211709118;1.01E-05;0.176113893
Lock (Shoes_A);Evisceration;DS0200;S6;0.0035;0.0007;0.079181246;0.166666667;-0.77815125;0.00000049;0.00626967
Polishing tunnel (Nozzles);Evisceration;DS0200;S6;0.02825;0.0078;0.14032514;0.381418093;-0.41859871;0.00006084;0.019691145
Polishing tunnel (Water);Evisceration;DS0200;S6;0.070625;0.038425;0.188667209;0.352361302;-0.453011794;0.001476481;0.035595316
Polishing tunnel (Whips);Evisceration;DS0200;S6;0.122375;0.0417;0.127349708;0.254152065;-0.594906358;0.00173889;0.016217948
Splitting saw;Evisceration;DS0200;S6;0.026375;0.018125;0.50473852;2.196969697;0.341824067;0.000328516;0.254760973
Sticking;Evisceration;DS0200;S6;0.00425;0.000175;0.018261317;0.042944785;-1.367089564;3.06E-08;0.000333476
Truck (Gloves);Evisceration;DS0200;S6;0.137375;0.030875;0.088047367;0.183506686;-0.736348107;0.000953266;0.007752339
Truck (Wall);Evisceration;DS0200;S6;0.004;0.002;0.301029996;1;0;0.000004;0.090619058
Unknown;Evisceration;DS0200;S6;0.4015;0.16725;0.23400595;0.71398079;-0.146313473;0.027972563;0.054758785
Anal Swab;Classification;DS0200;S6;0.0005;0.0004;0.255272505;0.444444444;-0.352182518;0.00000016;0.065164052
Classification (Gloves);Classification;DS0200;S6;0.048375;0.0089;0.088298839;0.225459151;-0.646932132;0.00007921;0.007796685
Classification (Railing);Classification;DS0200;S6;0.11875;0.112375;0.289213306;0.486208761;-0.313177219;0.012628141;0.083644336
Cooling chamber (Wall_A);Classification;DS0200;S6;0.00175;0.0013;0.589825535;2.888888889;0.460730839;0.00000169;0.347894162
Evisceration (Aprons);Classification;DS0200;S6;0.01125;0.005975;0.328930058;1.132701422;0.054115446;3.57E-05;0.108194983
Evisceration (Gloves);Classification;DS0200;S6;0.016625;0.0024;0.058563011;0.126149803;-0.899113424;0.00000576;0.003429626
Evisceration (Knifes);Classification;DS0200;S6;0.007125;0.004025;0.361423175;1.298387097;0.113404191;1.62E-05;0.130626711
Lock (Hands_A);Classification;DS0200;S6;0.005;0.0032;0.443697499;1.777777778;0.249877473;0.00001024;0.196867471
Lock (Shoes_A);Classification;DS0200;S6;0.00525;0.0003;0.02413368;0.054054054;-1.267171728;9.00E-08;0.000582434
Polishing tunnel (Nozzles);Classification;DS0200;S6;0.02275;0.008575;0.138909679;0.273743017;-0.562656951;7.35E-05;0.019295899
Polishing tunnel (Water);Classification;DS0200;S6;0.096875;0.0296;0.115792973;0.234038347;-0.630712977;0.00087616;0.013408012
Polishing tunnel (Whips);Classification;DS0200;S6;0.074875;0.051425;0.227066515;0.407165479;-0.39022905;0.002644531;0.051559202
Splitting saw;Classification;DS0200;S6;0.027;0.019925;0.58163732;2.816254417;0.449671886;0.000397006;0.338301972
Sticking;Classification;DS0200;S6;0.005125;0.0006;0.048081621;0.104803493;-0.979624241;0.00000036;0.002311842
Truck (Gloves);Classification;DS0200;S6;0.163125;0.02285;0.056934043;0.122865977;-0.910568363;0.000522123;0.003241485
Truck (Wall);Classification;DS0200;S6;0.003875;0.000475;0.05021755;0.109195402;-0.961795647;2.26E-07;0.002521802
Unknown;Classification;DS0200;S6;0.39175;0.185675;0.278983697;0.901006915;-0.045271876;0.034475206;0.077831903
Anal Swab;Truck;DS0200;S6;0.000875;0.000075;0.035715552;0.078947368;-1.102662342;5.63E-09;0.001275601
Classification (Gloves);Truck;DS0200;S6;0.03325;0.001725;0.023136554;0.054718477;-1.261865996;2.98E-06;0.0005353
Classification (Railing);Truck;DS0200;S6;0.10925;0.089325;0.259503126;0.449830039;-0.346951546;0.007978956;0.067341872
Cooling chamber (Wall_A);Truck;DS0200;S6;0.001125;0.000175;0.06279083;0.134615385;-0.870905304;3.06E-08;0.003942688
Evisceration (Aprons);Truck;DS0200;S6;0.01675;0.000725;0.018402373;0.04148784;-1.382079178;5.26E-07;0.000338647
Evisceration (Gloves);Truck;DS0200;S6;0.0105;0.0033;0.163856803;0.458333333;-0.338818557;0.00001089;0.026849052
Evisceration (Knifes);Truck;DS0200;S6;0.008625;0.004425;0.312509813;1.053571429;0.022663985;1.96E-05;0.097662383
Lock (Hands_A);Truck;DS0200;S6;0.005625;0;0;0;NA;0;0
Lock (Shoes_A);Truck;DS0200;S6;0.007625;0.002025;0.134051821;0.361607143;-0.441762999;4.10E-06;0.017969891
