Position;;all;200_01;200_02;200_03;200_04;200_05;200_06;200_07;200_08;200_09;200_10;mean200;stabw200;500_01;500_02;500_03;mean500;stabw500;1000_01;1000_02;1000_03;mean1000;stabw1000;5000_01;5000_02;5000_03;mean5000;stabw5000;7712_01;7712_02;7712_03;mean7712;stabw7712
Polishing tunnel (Whips);Classification;0.1263;0.08;0.086;0.09025;0.090625;0.059625;0.074875;0.081625;0.069;0.063875;0.081625;0.07775;0.010703225;0.11405;0.11;0.1079;0.11065;0.0031261;0.1152;0.1217;0.160875;0.132591667;0.024708758;0.124375;0.1459;0.12425;0.131508333;0.012463706;0.129825;0.11965;0.1264;0.125291667;0.005177254
Splitting saw;Classification;0.007075;0.01425;0.028375;0.0225;0.029375;0.017;0.027;0.0235;0.027625;0.01725;0.03125;0.0238125;0.005911456;0.01225;0.01105;0.0105;0.011266667;0.000894893;0.007;0.006975;0.0089;0.007625;0.001104253;0.01065;0.00685;0.0064;0.007966667;0.002334702;0.009325;0.010375;0.011225;0.010308333;0.000951753
Sticking;Classification;0.005725;0.0065;0.006375;0.006125;0.004125;0.01025;0.005125;0.002125;0.00625;0.0055;0.004625;0.0057;0.0020835;0.00385;0.0036;0.00495;0.004133333;0.000718215;0.00265;0.003225;0.002525;0.0028;0.00037333;0.0037;0.003075;0.00295;0.003241667;0.000401819;0.004975;0.005475;0.003;0.004483333;0.001308705
Truck (Gloves);Classification;0.185975;0.1255;0.179625;0.124375;0.167375;0.144875;0.163125;0.17725;0.126125;0.157875;0.181875;0.1548;0.023082371;0.1703;0.17435;0.1657;0.170116667;0.004327913;0.212525;0.234575;0.228775;0.225291667;0.01143026;0.215525;0.1936;0.224;0.211041667;0.015688059;0.2752;0.19745;0.244325;0.238991667;0.039148422
Truck (Wall);Classification;0.00435;0.002375;0.003125;0.002625;0.002;0.004625;0.003875;0.00425;0.00475;0.005;0.0025;0.0035125;0.001115625;0.0027;0.0041;0.0029;0.003233333;0.000757188;0.002175;0.0027;0.00375;0.002875;0.000801951;0.004;0.00655;0.0033;0.004616667;0.001710507;0.003925;0.00305;0.002875;0.003283333;0.000562546
Unknown;Classification;0.206075;0.439375;0.384375;0.3755;0.40425;0.404875;0.39175;0.398;0.413375;0.428125;0.38525;0.4024875;0.020094953;0.2831;0.2968;0.295;0.291633333;0.007444685;0.263475;0.2652;0.23275;0.253808333;0.018257436;0.233875;0.2346;0.234075;0.234183333;0.000374444;0.2348;0.220225;0.222775;0.225933333;0.007783891
Anal Swab;Truck;0.00095;0.001375;0.000875;0.002;0.001875;0.003125;0.000875;0.001125;0.001125;0.00175;0.00175;0.0015875;0.00067969;0.0007;0.00055;0.00065;0.000633333;7.64E-05;0.000575;0.0005;0.000525;0.000533333;3.82E-05;0.00065;0.0007;0.00065;0.000666667;2.89E-05;0.00075;0.0007;0.00055;0.000666667;0.000104083
Classification (Gloves);Truck;0.031525;0.0325;0.04125;0.051875;0.03375;0.046125;0.03325;0.03125;0.0375;0.039875;0.044625;0.0392;0.006821433;0.03585;0.04615;0.04645;0.042816667;0.006035175;0.0309;0.035875;0.034425;0.033733333;0.002558605;0.02445;0.0345;0.045875;0.034941667;0.010719326;0.0354;0.038675;0.0339;0.035991667;0.002441866
Classification (Railing);Truck;0.198575;0.1005;0.08725;0.115125;0.057;0.112875;0.10925;0.08275;0.108125;0.1215;0.1035;0.0997875;0.019234035;0.10855;0.1502;0.14935;0.136033333;0.023805059;0.174475;0.190825;0.16175;0.175683333;0.014575114;0.179975;0.176325;0.1627;0.173;0.009104841;0.1613;0.208075;0.18275;0.184041667;0.023414236
Cooling chamber (Wall_A);Truck;0.0013;0.004;0.00375;0.001125;0.00175;0.002;0.001125;0.00425;0.003;0.001875;0.00225;0.0025125;0.001162866;0.00115;0.00175;0.0014;0.001433333;0.000301386;0.00125;0.00175;0.00095;0.001316667;0.000404145;0.001125;0.0029;0.00215;0.002058333;0.000891043;0.00235;0.00185;0.00345;0.00255;0.000818535
Evisceration (Aprons);Truck;0.017475;0.022375;0.015875;0.02125;0.01925;0.021875;0.01675;0.019;0.017625;0.01375;0.01575;0.01835;0.002894439;0.01395;0.0285;0.02755;0.023333333;0.008140076;0.0137;0.014425;0.013575;0.0139;0.000458939;0.01395;0.021875;0.01585;0.017225;0.004137557;0.0129;0.013275;0.01845;0.014875;0.003101713
Evisceration (Gloves);Truck;0.0072;0.009875;0.018375;0.0115;0.0125;0.015125;0.0105;0.01825;0.0095;0.01625;0.01325;0.0135125;0.003328877;0.01335;0.0084;0.00765;0.0098;0.003097176;0.0067;0.0089;0.007075;0.007558333;0.001176949;0.006425;0.011625;0.009475;0.009175;0.002612949;0.006625;0.005225;0.008475;0.006775;0.001630184
Evisceration (Knifes);Truck;0.0042;0.007;0.009875;0.011875;0.011875;0.010125;0.008625;0.008875;0.005125;0.007375;0.007625;0.0088375;0.002160287;0.00675;0.00845;0.00765;0.007616667;0.00085049;0.005275;0.005175;0.0056;0.00535;0.000222205;0.005975;0.008675;0.00655;0.007066667;0.00142222;0.0053;0.00635;0.006075;0.005908333;0.00054448
Lock (Hands_A);Truck;0.005625;0.00925;0.01;0.007375;0.005625;0.010875;0.005625;0.005;0.01075;0.007625;0.006625;0.007875;0.002209512;0.00855;0.00655;0.00665;0.00725;0.001126943;0.006575;0.004575;0.004025;0.005058333;0.001341951;0.00395;0.004925;0.0068;0.005225;0.001448491;0.00585;0.0046;0.00815;0.0062;0.001800694
Lock (Shoes_A);Truck;0.0056;0.008625;0.007875;0.009375;0.008875;0.00775;0.007625;0.01125;0.005625;0.005875;0.008125;0.0081;0.001629588;0.0061;0.00635;0.0063;0.00625;0.000132288;0.007125;0.0064;0.0078;0.007108333;0.000700149;0.006175;0.00925;0.00605;0.007158333;0.001812514;0.0063;0.00465;0.007375;0.006108333;0.001372574
Polishing tunnel (Nozzles);Truck;0.014925;0.01875;0.0215;0.019625;0.03275;0.0215;0.016875;0.022375;0.02625;0.016875;0.024;0.02205;0.004795542;0.0169;0.01635;0.0164;0.01655;0.000304138;0.010975;0.015175;0.01355;0.013233333;0.002117831;0.020775;0.014375;0.019025;0.018058333;0.003307693;0.01295;0.014425;0.01855;0.015308333;0.002902621
Polishing tunnel (Water);Truck;0.11465;0.07;0.079125;0.0795;0.064;0.05575;0.072625;0.08625;0.052625;0.05475;0.062125;0.067675;0.01167116;0.08395;0.08825;0.0878;0.086666667;0.002363437;0.1027;0.090375;0.098325;0.097133333;0.006248316;0.088525;0.103925;0.105775;0.099408333;0.009470524;0.0961;0.0877;0.107;0.096933333;0.009676949
Polishing tunnel (Whips);Truck;0.064775;0.0455;0.054;0.052375;0.05825;0.0425;0.043125;0.059625;0.047625;0.03925;0.050375;0.0492625;0.00684766;0.06965;0.07195;0.07285;0.071483333;0.001650253;0.065325;0.065;0.0769;0.069075;0.006778597;0.06795;0.07275;0.07405;0.071583333;0.003212994;0.072625;0.0785;0.07255;0.074558333;0.003413789
Splitting saw;Truck;0.010025;0.022375;0.023125;0.0235;0.01675;0.019;0.016125;0.022;0.023875;0.02225;0.023875;0.0212875;0.002920266;0.01215;0.0133;0.01315;0.012866667;0.000625167;0.00865;0.008475;0.008975;0.0087;0.000253722;0.01045;0.0087;0.009575;0.009575;0.000875;0.0087;0.008675;0.0126;0.009991667;0.002258918
Sticking;Truck;0.007;0.006;0.00425;0.01025;0.012625;0.00825;0.007;0.009375;0.007375;0.004;0.00725;0.0076375;0.002648014;0.00655;0.0042;0.004;0.004916667;0.001418039;0.00675;0.00565;0.00445;0.005616667;0.001150362;0.004425;0.0075;0.00795;0.006625;0.001918496;0.005125;0.00695;0.006425;0.006166667;0.000939526
Truck (Gloves);Truck;0.1464;0.091375;0.124;0.1;0.105625;0.0875;0.11;0.1265;0.11575;0.103875;0.13225;0.1096875;0.014926469;0.1423;0.11715;0.11605;0.125166667;0.014848092;0.164175;0.14565;0.1814;0.163741667;0.017878939;0.17395;0.153475;0.1564;0.161275;0.011073871;0.195475;0.13695;0.1652;0.165875;0.029268338
Truck (Wall);Truck;0.0048;0.006125;0.005375;0.011375;0.004625;0.0035;0.003;0.00425;0.009375;0.012875;0.006;0.00665;0.003398223;0.0054;0.0053;0.00555;0.005416667;0.000125831;0.005825;0.0032;0.00415;0.004391667;0.001329082;0.004375;0.00405;0.006275;0.0049;0.001201822;0.005225;0.005325;0.0041;0.004883333;0.000680227
Unknown;Truck;0.364975;0.544375;0.4935;0.471875;0.552875;0.532125;0.537625;0.487875;0.51875;0.53025;0.490625;0.5159875;0.027871447;0.46815;0.4266;0.43055;0.441766667;0.022933836;0.389025;0.39805;0.376525;0.387866667;0.010809149;0.386875;0.36445;0.36485;0.372058333;0.012833168;0.367025;0.378075;0.3444;0.363166667;0.017165852
